January,,,
Destination / Region,Country / Area,Category,Why January?
,,,
"Northern Europe (Norway, Sweden, Finland, Iceland, Greenland)",Northern Europe,Winter / Northern Lights,"לילות ארוכים, שמיים נקיים – עונת שיא לזוהר הצפוני"
Austrian Alps,Austria,Ski / Winter sports,"שלג מצוין אחרי החגים, אתרי סקי פעילים"
Swiss Alps,Switzerland,Ski / Winter sports,"תנאי סקי טובים, חורף יציב"
"Caribbean Islands (Cuba, Dominican Rep., Jamaica, etc.)",Caribbean,Beach / Warm escape,"חם, מעט גשם – מתאים מאוד לחופים"
"Central America (Mexico, Costa Rica, Belize)",Central America,Beach + Nature,"עונה יבשה, ים נעים, טיולי טבע"
"Southeast Asia (Thailand, Cambodia, Vietnam, etc.)",SE Asia,Beach / Culture,"יבש, חמים, שיא עונה נעימה לחופים וטיולים"
South Africa (Cape Town & surrounds),South Africa,City + Beach + Wine,"קיץ מקומי, פחות עומס אחרי החגים"
Australia & New Zealand,Australia / New Zealand,Summer / Outdoors,"אמצע הקיץ – ים, טיולי טבע, טרקים"
Patagonia (Chile & Argentina),Chile / Argentina,Trekking / Mountains,עונה חמה ויבשה לטרקים בפטגוניה
Hawaii,USA (Hawaii),Surf / Beach / Whales,"גלים גבוהים, צפייה בלווייתנים, מחירים נוחים יותר"
Antarctica,Antarctica,Polar / Expedition,"ימים “חמים” יחסית, קרח ים פתוח – תנאים טובים לשייט"
,,,
Scandinavia,"Norway, Sweden, Finland",Northern Lights / Winter,עדיין עונה מעולה לאורות הצפון
French Alps,France,Ski,"הרבה שלג, אתרי סקי פעילים"
Utah / Colorado / Vermont,USA,Ski / Winter,אתרי סקי מובילים בצפון אמריקה
Paris,France,City / Romance,"“עיר האהבה” סביב וולנטיין, מחירים נוחים יחסית לחורף"
"Chile & Argentina (Patagonia, wine regions)",Chile / Argentina,Trekking + Wine,"סוף הקיץ בדרום, מזג אוויר מעולה לטיול ויין"
Egypt,Egypt,Culture / Historical,"מזג אוויר נעים לביקור בלוקסור, קהיר, אסואן"
Cape Town,South Africa,City + Beach,"קיץ, פחות אירופאים, מחירים יורדים"
Venice Carnival,Italy,Festival / Culture,קרנבל ונציה – אירוע תרבותי מרכזי
Rio de Janeiro Carnival,Brazil,Festival / Party,הקרנבל הכי גדול בעולם
New Orleans – Mardi Gras,USA,Festival / Culture,מרדי גרא – תהלוכות וחגיגות
China / Singapore (Chinese New Year),China / Singapore,Festival / Culture,ראש השנה הסיני – חגיגות ענק
,,,
February,,,
Destination / Region,Country / Area,Category,Why February?
Scandinavia,"Norway, Sweden, Finland",Northern Lights / Winter,עדיין עונה מעולה לאורות הצפון
French Alps,France,Ski,"הרבה שלג, אתרי סקי פעילים"
Utah / Colorado / Vermont,USA,Ski / Winter,אתרי סקי מובילים בצפון אמריקה
Paris,France,City / Romance,"“עיר האהבה” סביב וולנטיין, מחירים נוחים יחסית לחורף"
"Chile & Argentina (Patagonia, wine regions)",Chile / Argentina,Trekking + Wine,"סוף הקיץ בדרום, מזג אוויר מעולה לטיול ויין"
Egypt,Egypt,Culture / Historical,"מזג אוויר נעים לביקור בלוקסור, קהיר, אסואן"
Cape Town,South Africa,City + Beach,"קיץ, פחות אירופאים, מחירים יורדים"
Venice Carnival,Italy,Festival / Culture,קרנבל ונציה – אירוע תרבותי מרכזי
Rio de Janeiro Carnival,Brazil,Festival / Party,הקרנבל הכי גדול בעולם
New Orleans – Mardi Gras,USA,Festival / Culture,מרדי גרא – תהלוכות וחגיגות
China / Singapore (Chinese New Year),China / Singapore,Festival / Culture,ראש השנה הסיני – חגיגות ענק
,,,
March,,,
Destination / Region,Country / Area,Category,Why March?
Italy & Mediterranean countries,"Italy, Greece, Spain, etc.",City + Mild weather,"מתחמם, עונה כתף נעימה ללא עומס"
Egypt & Middle East,"Egypt, Jordan, Israel, etc.",Culture / Desert,"חם ונעים ביום, קריר בערב"
Southeast Asia,"Thailand, Vietnam, etc.",Beach / Culture,"עדיין חם ויחסית יבש, קצת פחות צפוף מבינואר–פברואר"
India – Holi Festival,"India (Mumbai, etc.)",Festival / Culture,"חג ההולי – פסטיבל הצבעים, ימים חמים ולילות נוחים"
Maldives,Maldives,Beach / Honeymoon,"מים חמימים, שמיים כחולים"
USA – coastal cities,"New York, Boston, San Francisco",City,"מזג אוויר נעים, תחילת אביב"
Caribbean + Cuba,"Caribbean, Cuba",Beach,עדיין עונה טובה לחופים
Colombia – Cartagena,Colombia,Beach + Nightlife,"חופים יפים, פחות צפוף, חיי לילה טובים"
Galápagos,Ecuador (Galapagos),Wildlife / Unique nature,"תחילת עונת החיזור של מינים מקומיים, גשם קצר וזול יותר"
,,,
,,,
,,,
,,,
April,,,
Destination / Region,Country / Area,Category,Why April?
"Crete, Cyprus, Malta",Greece / Cyprus / Malta,Beach + Relax,"מזג אוויר מעולה, עונה שקטה וזולה לפני הקיץ"
Canary Islands,Spain (Canaries),Beach / Island,"חמימים, נעימים, פחות עומס"
"Morocco, Tunisia, Egypt",North Africa,Culture / Desert,אביב נעים בצפון אפריקה
Middle East,"Israel, Jordan, etc.",Culture + Nature,יבש ונעים לטיולים
Victoria Falls,Zambia / Zimbabwe,Waterfall / Adventure,"סוף עונה רטובה – פחות רסס, אפשר בראינינג וג’אמפ"
Namibia,Namibia,Desert / Landscape,חום מתון – מתאים למדבר
Japan – cherry blossoms,Japan,Seasonal / Blossoms,שיא פריחת הסאקורה
Netherlands – tulips,Netherlands,Seasonal / Flowers,שדות הצבעונים בשיאם
Washington D.C. – cherry blossoms,USA,City + Blossoms,פסטיבל הדובדבן המפורסם
"Caribbean (Cuba, DR, Jamaica, Puerto Rico)",Caribbean,Beach,מזג אוויר מעולה לחופים
New Zealand – autumn vineyards,New Zealand,Wine / Scenery,תחילת הסתיו – כרמים בצבעים מרהיבים
,,,
May,,,
Destination / Region,Country / Area,Category,Why May?
UK & most of Europe,"UK, France, etc.",City / Countryside,"קיץ “רך”, חמים, לפני עומסי יולי–אוגוסט"
"Croatia, Hungary, Italy","Croatia, Hungary, Italy",City + Coast,"עדיין עונה כתף, זול יותר ופחות צפוף"
Portugal + Mediterranean,"Portugal, Spain, Greece",Beach / City,"כבר חם, אבל עדיין לא שיא קיץ"
Prague – Spring Music Festival,Czech Republic,Culture / Festival,פסטיבל אביב בן 3 שבועות
Nepal & Bhutan,"Nepal, Bhutan",Trekking / Himalaya,"מזג אוויר מעולה לטרקים (Everest Base Camp, Annapurna)"
Peru – Inca Trail,Peru,Trekking / Culture,אחת העונות הכי טובות לטרק האינקה ולביקור בקוסקו
Indonesia – Bali,Indonesia (Bali),Beach / Island,"יוצאת מהעונה הרטובה – חם, גשם קצר, עדיין עונה כתף"
USA & Canada – cities + Yellowstone,USA / Canada,National Parks / City,"מזג אוויר טוב, פחות תיירים בפארקים"
Namibia – Sossusvlei,Namibia,Desert / Photography,תנאים מושלמים לצילום דיונות ועצי המוות
,,,
,,,
June,,,
Destination / Region,Country / Area,Category,Why June?
Northern Europe – midnight sun,"Iceland, Sweden, Norway, Finland",Seasonal / Midnight sun,"שמש חצות, ימים ארוכים מאד"
Pride festivals worldwide,Various cities,Festival / City,הרבה ערים חגיגות Pride ביוני
Greek Islands & Croatia,"Greece, Croatia",Beach / Sailing,תחילת שיא עונת שייט באיים
Peru (still),Peru,Trekking,"יבש, מעט קריר – טוב לטרקים"
Brazil,Brazil,City + Nature,"טמפ’ נוחות, יבש, דרום קצת קריר"
Iguazu Falls,Brazil / Argentina,Waterfalls / Nature,עונה נעימה לביקור
Canada – festivals,Canada,City / Festivals,"Canada Day, פסטיבל ג’אז במונטריאול"
Tanzania + Zanzibar,Tanzania,Safari + Beach,אחרי הגשמים – נדידת הגנו וחופים בזנזיבר
Arctic cruises,Arctic region,Polar / Wildlife,"ימים ארוכים, לווייתני מינק והמפבק"
,,,
July,,,
Destination / Region,Country / Area,Category,Why July?
Europe (general),Europe-wide,City / Beach,"שיא הקיץ, המון פסטיבלים ואירועים"
USA – outdoors & 4th of July,USA,City + Outdoors,"חגיגות 4 ביולי, טיולים בטבע"
"Indonesia (Bali, East Java, Komodo)",Indonesia,Diving / Volcano / Islands,"יבש, שטוף שמש – מתאים לצלילה וטיולי הרי געש"
Seychelles,Seychelles,Beach / Water sports,"סוף העונה הרטובה, פעילות ימית ענפה"
Kenya – Maasai Mara,Kenya,Safari / Great Migration,תחילת נדידת הגנו הגדולה
Tanzania – Serengeti,Tanzania,Safari / Great Migration,"המשך הנדידה, צפיפות חיות מדהימה"
Fiji,Fiji,Beach / Island,"מזג אוויר נעים, פסטיבל Bula ביולי"
Peru & Bolivia,Peru / Bolivia,Trekking / Culture,"יבש, קריר – טוב לטרקים וטיול ערים"
,,,
,,,
August,,,
Destination / Region,Country / Area,Category,Why August?
Mediterranean coasts,"Italy, Spain, Portugal, Greece",Beach,"חוף, חום, עונת שיא תיירותית"
Croatia – sailing,Croatia,Sailing / Beach,"הפלגות, ים חם"
Scotland – Edinburgh Fringe,UK (Scotland),Festival / Arts,פסטיבל האומנויות הגדול בעולם
Peru,Peru,Trekking,קר אבל יבש למטיילים שלא מפחדים מקור
Tibet,China (Tibet),High-altitude trekking,תנאי הליכה טובים
Kenya (end of migration),Kenya,Safari,סוף הנדידה הגדולה – עדיין מרשים
,,,
September,,,
Destination / Region,Country / Area,Category,Why September?
Germany & Austria – Oktoberfest (starts late Sept),"Germany, Austria",Beer Festival,תחילת אוקטוברפסט
Georgia – Tbilisi,Georgia,City / Architecture,"מזג אוויר נעים, עיר מעורבת סגנונות"
India (post-monsoon),India,Culture / City,"סוף המונסון, מזג אוויר נוח לפני החורף"
Himalaya road-trip,India / Nepal / etc.,Road-trip / Mountains,כבישים פתוחים לפני השלג
Portugal & Mediterranean,"Portugal, Greece, etc.",Beach / City,"עדיין חמים, פחות תיירים ומחירים נמוכים"
"Southern Africa (Namibia, Botswana, etc.)","Namibia, Botswana, Zambia, Zimbabwe, Mozambique",Safari / Nature,"יבש, שמש חורפית, לילות קרירים"
Iran,Iran,Culture / Off the beaten path,"מזג אוויר מתון, פחות חם"
Peru & Nepal (trekking),"Peru, Nepal",Trekking,עונת הליכה מעולה – גם באלפים והאנדים
China & Japan – fall hikes,"China, Japan",Hiking / Fall weather,מזג אוויר סתווי מתון
,,,
,,,
October,,,
Destination / Region,Country / Area,Category,Why October?
Munich – Oktoberfest,Germany,Beer Festival,שיא הפסטיבל
"Argentina, Uruguay, Chile",South America,Spring / City + Nature,"יבש, מתחמם – לפני העומס הקייצי"
Turkey – Antalya,Turkey,Beach + Culture,"שמש כמעט בטוחה, מחירים טובים"
Cyprus,Cyprus,Beach,"סוף עונת הרחצה, עדיין חמים"
Oman & UAE,"Oman, UAE",Desert / City,"חם אבל לא קיצוני, עונה טובה לטיול"
Ethiopia – Simien Mountains,Ethiopia,Trekking / Wildlife,"הרים ירוקים אחרי הגשמים, הרבה חיות"
Victoria Falls – Devil’s Pool,Zambia,Adventure / Waterfall,גובה מים נמוך – פתוח לבריכה המפורסמת
Madagascar,Madagascar,Wildlife / Beach,"גורים של למורים, מזג אוויר לחוף"
Japan,Japan,Autumn foliage,"שלכת מרהיבה, גשם כמעט נגמר"
,,,
November,,,
Destination / Region,Country / Area,Category,Why November?
"Cuba – Havana, Trinidad, Viñales",Cuba,City + Beach,"תחילת העונה היבשה, טמפ’ נוחות"
Caribbean Islands,Caribbean,Beach,"סוף עונת ההוריקנים, מזג אוויר טוב"
Prague,Czech Republic,City / Old town,"חורף בתחילתו, אווירה רומנטית ואדריכלות"
Chiang Mai – Loi Krathong & Yi Peng,Thailand (Chiang Mai),Festival / Culture,פסטיבלי הפנסים – חוויה חזותית חזקה
Agra – Taj Mahal,India,Culture / Iconic site,"תחילת עונת השיא, אפשר להקדים את העומס בסיור זריחה"
Morocco,Morocco,Culture / Desert,"מזג אוויר טוב לסהרה, מדינות, שווקים"
"USA – Thanksgiving (NYC, Colorado)",USA,City / Family holiday,"חג ההודיה, מצעדי חג, סקי ראשוני"
Hawaii – surf season,USA (Hawaii),Surf / Beach,תחרויות גלישה גדולות בצפון אוהאיו
Antarctica,Antarctica,Polar / Expedition,תחילת הקיץ הדרומי – שוב נגיש
,,,
December,,,
Destination / Region,Country / Area,Category,Why December?
Scandinavia,"Norway, Sweden, Finland",Northern Lights / Winter,"חורף מלא, אורות הצפון"
"Alps (Switzerland, Austria, France Pyrenees)","Switzerland, Austria, France",Ski,פתיחת עונת הסקי המלאה
Banff National Park,Canada,Winter sports / Nature,"סקי, סנובורד, מזחלות כלבים, אגמים קפואים"
Christmas markets,"France, Germany, Czech Republic, Hungary",City / Markets,שווקי חג מולד מפורסמים באירופה
Southeast Asia,"Thailand, Cambodia, Vietnam, Laos, Philippines",Beach / Warm winter,"חם, יבש – בריחה מהקור האירופי"
Australia & New Zealand,"Australia, New Zealand",Summer / Outdoors,"אמצע הקיץ, ימים ארוכים וחמים"
Caribbean,Caribbean,Beach,"חם, יבש – עונת שיא חמימה"
Central America – Belize,Belize,Diving / Beach + Mayan sites,"צלילה מעולה, אתרים מאיה, קיץ מקומי"
Patagonia (again),"Argentina, Chile",Trekking / Summer,שיא העונה היפה ביותר שם
Uruguay – Punta del Este,Uruguay,Beach / City,“מונקו של הדרום” בשיאו
New Year’s Eve cities,"Rio, Edinburgh, New York, Dubai, Sydney, Miami",Party / Fireworks,מסיבות ענק וזיקוקים לסילבסטר